[79.2586,37.0324]
[2.91137,48.5328]
[34.3409,94.2306]
[35.085,41.6058]
[7.79022,18.8152]
[45.1587,21.1606]
[5.92107,57.5091]
[25.8793,78.9482]
[8.11651,88.7723]
[62.1301,32.5521]
[23.6418,5.60027]
[95.2796,92.9434]
[51.9731,7.50854]
[11.6475,35.3076]
[33.0999,72.6162]
[38.2051,19.9681]
[57.7486,21.7263]
[84.8844,19.6129]
[81.6908,19.6647]
[54.7683,46.0721]
[64.3054,2.75505]
[8.08077,85.8026]
[61.1723,25.9095]
[85.9264,98.0114]
[37.1661,20.886]
[78.4809,9.51327]
[27.5475,1.45363]
[72.6806,54.7913]
[11.9145,77.386]
[22.4022,19.5871]
[98.9079,16.604]
[83.6794,32.9428]
[46.2285,36.604]
[82.8211,42.5647]
[60.7713,93.8691]
[33.3341,32.0074]
[16.5478,4.50863]
[98.4657,64.4304]
[67.5532,3.34074]
[41.052,22.7146]
[9.84761,48.6589]
[83.25,62.7739]
[55.0019,10.338]
[62.608,29.7917]
[42.6364,88.6336]
[36.0034,74.5759]
[94.7415,12.7003]
[93.1473,67.9327]
[28.6435,43.9385]
[51.5701,73.3008]
[61.4952,7.10765]
[35.1784,16.1814]
[80.7822,34.4049]
[87.5355,82.8712]
[98.5325,33.2012]
[87.8078,89.8405]
[28.3758,91.3552]
[30.9163,49.041]
[19.4914,47.4635]
[51.5715,1.2496]
[11.3204,28.9725]
[58.1215,36.207]
[6.70509,71.4096]
[2.20855,69.2238]
[57.9109,33.7859]
[54.7733,70.3999]
[11.193,7.13947]
[92.5824,61.4231]
[38.0405,71.1377]
[49.6176,3.53461]
[81.5659,80.912]
[66.8981,72.3631]
[46.8193,51.104]
[68.3518,88.4114]
[35.9103,6.59626]
[29.4984,45.36]
[72.7521,56.9177]
[72.5081,65.825]
[58.9529,92.9641]
[26.8977,18.5952]
[15.1827,34.7227]
[8.63938,62.1953]
[49.2039,88.4611]
[13.1479,30.3563]
[28.533,64.2727]
[26.2305,60.9556]
[18.2033,57.3098]
[94.0831,96.5429]
[89.472,70.4189]
[68.959,57.986]
[28.4971,18.8358]
[14.5262,23.1988]
[13.089,1.87181]
[11.5266,17.2664]
[39.4245,85.4638]
[15.2182,29.3973]
[60.9518,11.1636]
[28.9432,24.3998]
[18.6308,72.9906]
[25.876,92.6743]
